text,sentiment
Avoid this item 0,0
Complete garbage item 1,0
Very happy with this item 2,1
Do not buy item 3,0
Complete garbage item 4,0
Complete garbage item 5,0
Great product item 6,1
Complete garbage item 7,0
Great product item 8,1
Poor quality item 9,0
Poor quality item 10,0
Fantastic quality item 11,1
Terrible product item 12,0
Very happy with this item 13,1
Poor quality item 14,0
Very happy with this item 15,1
Do not buy item 16,0
Highly recommend item 17,1
Excellent service item 18,1
Avoid this item 19,0
Fantastic quality item 20,1
Waste of money item 21,0
Highly recommend item 22,1
Amazing experience item 23,1
Avoid this item 24,0
Poor quality item 25,0
Do not buy item 26,0
Excellent service item 27,1
Worst experience item 28,0
Waste of money item 29,0
Amazing experience item 30,1
Worst experience item 31,0
Great product item 32,1
Waste of money item 33,0
Amazing experience item 34,1
Poor quality item 35,0
Excellent service item 36,1
Worst experience item 37,0
Terrible product item 38,0
Fantastic quality item 39,1
Waste of money item 40,0
Excellent service item 41,1
Poor quality item 42,0
Fantastic quality item 43,1
Do not buy item 44,0
Terrible product item 45,0
Excellent service item 46,1
Complete garbage item 47,0
Very disappointed item 48,0
Complete garbage item 49,0
I love this! item 50,1
Amazing experience item 51,1
Terrible product item 52,0
I love this! item 53,1
Amazing experience item 54,1
Do not buy item 55,0
Complete garbage item 56,0
Highly recommend item 57,1
Best purchase ever item 58,1
Best purchase ever item 59,1
Worst experience item 60,0
Fantastic quality item 61,1
Very happy with this item 62,1
Very disappointed item 63,0
Very happy with this item 64,1
Poor quality item 65,0
Do not buy item 66,0
I love this! item 67,1
Complete garbage item 68,0
Fantastic quality item 69,1
Avoid this item 70,0
Fantastic quality item 71,1
Complete garbage item 72,0
Best purchase ever item 73,1
Waste of money item 74,0
Great product item 75,1
Great product item 76,1
Poor quality item 77,0
Worst experience item 78,0
Excellent service item 79,1
Highly recommend item 80,1
Worst experience item 81,0
Terrible product item 82,0
I love this! item 83,1
I love this! item 84,1
Worst experience item 85,0
I love this! item 86,1
Terrible product item 87,0
Poor quality item 88,0
Very disappointed item 89,0
Complete garbage item 90,0
Highly recommend item 91,1
Terrible product item 92,0
Poor quality item 93,0
Waste of money item 94,0
Fantastic quality item 95,1
Terrible product item 96,0
Waste of money item 97,0
Great product item 98,1
Complete garbage item 99,0
Best purchase ever item 100,1
Fantastic quality item 101,1
Complete garbage item 102,0
Very happy with this item 103,1
Best purchase ever item 104,1
Terrible product item 105,0
Excellent service item 106,1
Waste of money item 107,0
Best purchase ever item 108,1
Excellent service item 109,1
Highly recommend item 110,1
Excellent service item 111,1
Poor quality item 112,0
Poor quality item 113,0
Very disappointed item 114,0
Highly recommend item 115,1
Highly recommend item 116,1
